date,author,category,summary,sha,is_merge
2026-05-28,원종우,기타,chore: ChatRoom.java에서 주석에서 불필요한 공백제거2,c655cee,False
2026-05-28,070128o,기타,Merge branch 'Jongwoo0101' of https://github.com/Jongwoo0101/genai-team-project into Jongwoo0101,0b2aaba,False
2026-05-28,원종우,기타,Merge remote-tracking branch 'origin/Jongwoo0101' into Jongwoo0101,b496f98,False
2026-05-28,070128o,기타,fighting!!,7ca94ea,False
2026-05-28,원종우,기타,chore: 주석에서 불필요한 공백제거,587296c,False
2026-05-28,원종우,기능 개발,"feat(chat): 채팅 도메인 엔티티 및 관련 Enum 정의

- 1:1 채팅방 엔티티(ChatRoom) 및 unique 제약 조건을 활용한 중복 생성 방지 로직 추가
- 채팅 메시지 엔티티(ChatMessage) 정의 및 인덱스 추가
- 일반(NORMAL) 및 긴급(URGENT) 메시지 구분을 위한 ChatMessageType Enum 추가",e78e425,False
2026-05-28,원종우,기능 개발,"feat(chat): 채팅 비즈니스 로직(Service) 및 API 컨트롤러 구현

- ChatService: 채팅방 입장/목록 조회, 메시지 전송, 미읽음 일괄 처리 로직 구현
- 수신자 상태(MEETING/AWAY)에 따른 일반/긴급 알림 발송 분기 및 배너 조회 API 구현
- 데이터 정합성을 위해 TransactionSynchronization(afterCommit)을 활용한 웹소켓 실시간 푸시 연동
- ChatController: 채팅 관련 REST API 엔드포인트 매핑",3752000,False
2026-05-28,원종우,기능 개발,"feat(chat): 채팅 관련 Repository 및 WebSocket 이벤트 상수 추가

- ChatRoomRepository: 멤버 ID 기반 채팅방 조회 및 단건 조회 쿼리 추가
- ChatMessageRepository: 최신 메시지 페이징 조회, 미읽음 카운트 및 일괄 읽음 처리(@Modifying) 쿼리 구현
- WsEnvelope: 실시간 채팅 수신 및 읽음 처리를 위한 웹소켓 이벤트 상수(CHAT_MESSAGE_RECEIVED, CHAT_URGENT_RECEIVED, CHAT_READ) 정의",f779f37,False
2026-05-27,dldnwls07,기타,Merge branch 'feature/scoped-storage-fix' into jongwoo0101,64a16cb,False
2026-05-27,dldnwls07,버그 수정,narrow user.id null check in EmployeeViewContent,fbe8f26,False
2026-05-27,dldnwls07,기능 개발,implement idle-based status auto-transition and simplify AI state classifier logic,e85e25f,False
2026-05-27,070128o,기타,last dance(feat.배경훈교수님),215374f,False
2026-05-27,dldnwls07,버그 수정,update TeamController to handle empty search results correctly,4bfb8a3,False
2026-05-27,070128o,기타,Merge branch 'Jongwoo0101' of https://github.com/Jongwoo0101/genai-team-project into Jongwoo0101,2231f0b,False
2026-05-27,070128o,기타,work woojin!!,65fcc69,False
2026-05-27,070128o,기타,work woojin!! hurry up,734943d,False
2026-05-27,070128o,기타,last commit (feat.BIGBANG),b8c98b4,False
2026-05-27,dldnwls07,기타,Merge branch 'Jongwoo0101' of https://github.com/Jongwoo0101/genai-team-project into jongwoo0101,c134d11,False
